               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.035463,            0.012899,           0.0023573,             0.89641,             0.87252,              0.8992,             0.57084,            0.028866,            0.011478,           0.0012373,           0.0019376,           0.0019376,           0.0019376
                  32,            0.035138,             0.01268,           0.0022083,             0.92284,             0.85268,             0.90138,             0.58041,            0.028752,            0.011395,           0.0012401,           0.0019162,           0.0019162,           0.0019162
                  33,            0.034059,            0.012061,           0.0026166,             0.91932,             0.86738,             0.90568,             0.59055,            0.028219,            0.011286,           0.0011337,           0.0018948,           0.0018948,           0.0018948
                  34,            0.034387,             0.01245,           0.0022187,             0.91814,             0.87557,             0.91232,             0.59531,            0.028163,            0.011124,           0.0011784,           0.0018733,           0.0018733,           0.0018733
                  35,            0.034455,            0.012847,           0.0036621,             0.91848,             0.87545,             0.91226,             0.59625,            0.027651,            0.011037,           0.0011217,           0.0018519,           0.0018519,           0.0018519
                  36,             0.03391,            0.012449,           0.0026139,             0.92539,             0.86923,               0.911,              0.6038,            0.027298,            0.011015,           0.0011511,           0.0018305,           0.0018305,           0.0018305
                  37,            0.033715,            0.012363,           0.0022103,              0.9304,             0.87464,             0.91399,             0.60687,            0.027143,            0.010947,           0.0011004,           0.0018091,           0.0018091,           0.0018091
                  38,            0.034127,            0.012757,           0.0026617,             0.91785,              0.8885,             0.92453,             0.61426,            0.026769,            0.010936,           0.0011078,           0.0017877,           0.0017877,           0.0017877
                  39,            0.033343,            0.012202,           0.0021198,             0.91203,             0.88323,             0.91845,               0.619,            0.026749,            0.010793,           0.0012554,           0.0017663,           0.0017663,           0.0017663
                  40,             0.03284,            0.012174,             0.00198,             0.90842,             0.89699,             0.91895,             0.61737,            0.026635,            0.010827,            0.001069,           0.0017449,           0.0017449,           0.0017449
                  41,             0.03337,            0.012068,           0.0035789,             0.92867,             0.87948,             0.92045,             0.61603,            0.026436,            0.010831,           0.0011175,           0.0017234,           0.0017234,           0.0017234
                  42,             0.03278,            0.012099,           0.0020253,             0.92029,             0.88079,             0.91958,             0.61619,            0.026725,            0.010831,           0.0011617,            0.001702,            0.001702,            0.001702
                  43,            0.032326,            0.011992,           0.0029172,             0.92857,             0.89177,             0.92555,             0.61889,             0.02633,            0.010748,           0.0010968,           0.0016806,           0.0016806,           0.0016806
